GEO_ID,NAME,S1901_C01_012E
41001,"Baker County, Oregon",46922
41003,"Benton County, Oregon",68732
41005,"Clackamas County, Oregon",88517
41007,"Clatsop County, Oregon",61846
41009,"Columbia County, Oregon",73909
41011,"Coos County, Oregon",52548
41013,"Crook County, Oregon",64820
41015,"Curry County, Oregon",57553
41017,"Deschutes County, Oregon",74082
41019,"Douglas County, Oregon",52479
41021,"Gilliam County, Oregon",51705
41023,"Grant County, Oregon",51100
41025,"Harney County, Oregon",42095
41027,"Hood River County, Oregon",77815
41029,"Jackson County, Oregon",61020
41031,"Jefferson County, Oregon",59748
41033,"Josephine County, Oregon",51733
41035,"Klamath County, Oregon",50790
41037,"Lake County, Oregon",50685
41039,"Lane County, Oregon",59016
41041,"Lincoln County, Oregon",54961
41043,"Linn County, Oregon",63313
41045,"Malheur County, Oregon",47906
41047,"Marion County, Oregon",64880
41049,"Morrow County, Oregon",61659
41051,"Multnomah County, Oregon",76290
41053,"Polk County, Oregon",70238
41055,"Sherman County, Oregon",53606
41057,"Tillamook County, Oregon",55730
41059,"Umatilla County, Oregon",63123
41061,"Union County, Oregon",55227
41063,"Wallowa County, Oregon",57891
41065,"Wasco County, Oregon",57853
41067,"Washington County, Oregon",92025
41069,"Wheeler County, Oregon",46648
41071,"Yamhill County, Oregon",73409
